t,ax,ay,yawRate,steer,gas,t_sec,yaw,yaw_rad,ax_world,ay_world,angular_accel,x_world,y_world
1767.0,0.0329,-0.031,12.7744,3440.0,2884.0,1.767,0.0,0.0,0.0329,-0.031,0.0,0.0,0.0
1946.0,0.1317,-0.3308,3.1707,3090.0,2886.0,1.946,0.5675553000000002,0.009905708672144176,0.13497029348964443,-0.32947921008057435,-53.651955307262554,0.0043245831737017,-0.010556843370191688
2307.0,0.0915,-0.1957,-0.2439,2994.0,2884.0,2.307,0.4795074000000002,0.00836898291767746,0.09313458653280672,-0.19492739364020426,-9.458725761772854,0.02518362102025094,-0.05725059331297338
2486.0,0.0756,-0.1125,-0.5183,2994.0,3146.0,2.486,0.38673170000000007,0.006749741486834956,0.07635761802739562,-0.11198716073364101,-1.532960893854746,0.037973042480331884,-0.08399163054986807
2666.0,0.0648,-0.0234,0.0,3212.0,3456.0,2.666,0.38673170000000007,0.006749741486834956,0.06495646664517532,-0.022962087034375273,2.8794444444444487,0.05293850274161636,-0.11162603067615628
2846.0,0.0509,-0.0633,0.6098,3468.0,3686.0,2.846,0.49649570000000015,0.008665484686994013,0.051446607271418546,-0.06285655574608288,3.387777777777775,0.06957083307849483,-0.14129698320861767
3566.0,0.0316,-0.0463,-0.1524,3384.0,4002.0,3.566,0.38676770000000016,0.006750369805365675,0.03191181978471931,-0.04608563505071398,-1.0586111111111114,0.15264324180240713,-0.2838715865487531
3729.0,-0.6226,-3.0121,12.3171,3426.0,4002.0,3.729,2.3944550000000033,0.04179112354084088,-0.49621398912733317,-3.035481649918896,76.49999999999989,0.15826600263361315,-0.3967986045393959
4449.0,-0.4464,-2.5169,19.5427,4002.0,4002.0,4.449,16.465199,0.2873719345460778,0.28527823987941464,-2.5402115848588878,10.03555555555556,0.33099097714702996,-2.21246301990486
4629.0,-1.6389,-4.9019,97.9573,4002.0,4002.0,4.629,34.09751299999997,0.5951138685915688,1.390872131305139,-4.977960579831735,435.6366666666674,0.4192364778296705,-2.8276650465327733
5348.0,-0.9329,-4.6403,100.2134,3990.0,3384.0,5.348,106.1509476,1.8526835397319725,4.716661239457084,0.3947065393468532,3.1378303198887183,3.210058138789639,-5.08100747672032
6068.0,-0.7822,-3.5303,8.3537,4002.0,4002.0,6.068,112.16561159999999,1.9576592299331448,3.5645132685712007,0.6075360797350663,-127.58291666666669,7.852605010389654,-7.022537198208238
6248.0,-1.2353,-4.1051,17.7134,4002.0,4002.0,6.248,115.3540236,2.0133075172432426,4.23866143505121,0.641530466158565,51.99833333333316,9.150574358785322,-7.487134041476682
6428.0,-2.0839,-5.2488,114.9085,4004.0,4002.0,6.428,136.03755359999997,2.3743032166782645,5.143628062164413,2.331443974903702,539.9727777777786,10.61519725639511,-7.876192099958243
6607.0,-1.4861,-5.2893,178.2317,4002.0,4002.0,6.607,167.94102790000002,2.931123886038659,2.5583381700594843,4.86210792842124,353.76089385474796,12.153655073436168,-8.107301924647029
6788.0,-1.4163,-4.3991,222.4085,4002.0,4002.0,6.788,208.19696640000004,3.633722556344006,-0.8303672840760432,4.546259635517551,244.07071823204421,13.682098700699711,-8.192053970094712
6968.0,-1.2379,-5.2062,265.8537,4002.0,4004.0,6.968,256.0506324,4.46892658719367,-4.75425109732644,2.4564224704985773,241.3622222222226,15.048060152480243,-8.196749684153225
7327.0,-1.8168,-6.3068,331.4024,4002.0,4002.0,7.327,375.024094,6.545405214608711,-0.11981457507108861,-6.562174406978264,182.58690807799442,17.75695255905946,-9.051854624715695
7507.0,-1.4324,-5.7508,316.1281,4002.0,4002.0,7.507,431.9271519999999,7.53855093116201,5.022704273432732,-3.145776880460623,-84.85722222222226,19.277907211458118,-9.582521219880068
7688.0,-3.2078,-7.4464,275.3964,4002.0,4002.0,7.688,481.77390039999995,8.408540812155225,8.01955447058273,1.1939848798693156,-225.03701657458552,21.07004023593642,-10.077019824145957
7868.0,-3.5469,-8.5625,258.5061,4002.0,4002.0,7.868,528.3049984000002,9.220661676823378,5.208902871566231,7.665783504286373,-93.83499999999982,23.02104042602542,-10.320415006385309
8047.0,-3.7684,-7.0607,256.2805,4002.0,4002.0,8.047,574.1792079000003,10.02131767434804,-0.849043758461383,7.958231445881539,-12.433519553072527,24.933997515104615,-10.307468299410285
8407.0,-3.9125,-7.8938,281.5549,3978.0,2874.0,8.407,675.5389719000001,11.790379285192456,-8.321463659455151,-2.8936097273763925,70.20666666666666,27.702823825221955,-10.656442050184362
9125.0,-3.1693,-6.3653,1.25,1968.0,2874.0,9.125,676.4364719000001,11.806043615229106,-6.683208824779732,-2.428214649569991,-390.39679665738157,29.779739530881358,-12.60425373767758
