t,ax,ay,yawRate,steer
10000,-5.4760,0.0514,339.3293,4004
10054,-4.8256,0.0593,342.9573,4002
10107,-4.2354,0.1542,337.2866,4004
10162,-4.6846,0.2546,334.7256,4002
10216,-4.1767,0.8175,323.2012,4004
10270,-4.2732,0.5209,323.5366,4002
10323,-3.9955,1.1015,313.8415,4002
10378,-3.5106,1.7977,305.7622,3960
10432,-3.2289,1.9634,291.7988,3960
10486,-3.5202,1.3941,283.9024,3970
10540,-3.9309,2.1720,277.5915,3958
10575,-3.1667,2.0072,263.8720,3958
10630,-3.5337,2.4327,256.8293,3978
10684,-3.3987,2.7736,254.8476,3980
10720,-4.0329,2.5996,254.2378,3980
10774,-4.0260,2.4072,238.0488,3984
10827,-3.9127,1.7634,243.5366,3986
10882,-3.9748,1.7014,243.5061,3988
10936,-3.6606,1.2917,249.3293,3990
10990,-4.4124,1.3518,252.7439,4006
11026,-5.4510,1.3649,267.3171,4000
11079,-4.8861,1.1834,291.7378,4002
11133,-4.5204,0.3951,291.5854,4002
11188,-4.1923,1.1124,269.6951,4002
11242,-4.1243,1.1346,274.6342,4002
11295,-4.4018,0.9819,282.4695,4004
11350,-4.8459,1.0230,281.3110,4004
11404,-5.6091,1.4845,278.3842,4002
11457,-5.5762,1.1948,279.7866,4004
11494,-5.0940,1.3944,277.6220,4004
11547,-4.8902,1.4560,276.3720,4002
11601,-4.7085,1.4765,275.6403,4002
11656,-4.6210,1.8942,278.3537,4004
11709,-4.5286,1.7026,276.8598,4004
11763,-4.5034,2.0123,286.1281,3996
11817,-4.0859,2.5417,288.8720,3994
11872,-4.4524,2.5902,290.2439,3972
11925,-4.0159,2.4620,297.7439,3936
11976,-4.0296,2.3795,295.6403,3914
12034,-4.0257,1.9328,297.2561,3894
12087,-3.8919,1.7239,290.5488,3894
12141,-4.4490,1.8235,288.9329,3892
12195,-5.0633,1.4798,286.8293,3854
12250,-5.1486,1.1930,276.0061,3804
12303,-5.3998,1.3173,274.6037,3726
12357,-5.6146,1.1353,277.4085,3686
12411,-5.5073,1.0016,272.1342,3636
12465,-5.0073,1.3610,267.8659,3590
12519,-4.3238,1.8411,261.4634,3562
12573,-4.4392,1.9187,252.8963,3500
12627,-3.7664,2.4653,230.5793,3496
12681,-3.6930,2.2845,230.7317,3446
12735,-4.2904,2.1335,216.9512,3364
12771,-4.0342,2.0248,209.9695,3364
12825,-4.4862,2.3031,193.6280,3288
12879,-3.3678,2.6072,187.4390,3262
12933,-3.2616,2.6034,180.1219,3232
12987,-2.2770,2.8910,175.6707,3230
13040,-2.6351,3.0857,171.4634,3248
13077,-2.8652,3.2107,161.1890,3272
13131,-3.4897,2.9349,159.5427,3306
13185,-4.0310,2.2090,165.7012,3392
13239,-4.3012,1.4201,177.3171,3444
13293,-4.5610,2.2815,168.6585,3518
13346,-4.6716,2.3342,155.9756,3548
13401,-4.5729,2.6225,163.3842,3572
13455,-4.5322,2.3192,151.0976,3622
13509,-4.8497,2.1465,155.9146,3678
13562,-4.6018,2.6830,160.3049,3684
13617,-5.1007,2.4246,164.2073,3690
13671,-6.1679,2.6546,166.2805,3670
13724,-5.5716,2.8826,174.8171,3660
13778,-5.4657,2.7232,175.5183,3646
13833,-5.1153,2.4093,177.4390,3628
13887,-4.6999,2.5203,173.9939,3624
13940,-4.5212,2.3179,178.4756,3610
13995,-4.2802,2.4074,175.4573,3612
14049,-4.0409,2.8027,181.6159,3616
14102,-4.2445,2.2474,189.0549,3632
14156,-3.7006,2.0254,192.6219,3620
14211,-4.1696,2.2390,197.6219,3622
14265,-3.6838,2.2762,202.5305,3636
14318,-4.0919,2.2649,205.6098,3624
14372,-4.3385,1.7463,216.2195,3628
14427,-4.4582,2.1086,227.6829,3648
14480,-3.6963,1.9411,230.7012,3666
14534,-3.8242,0.9275,246.9817,3654
14588,-3.8806,0.3518,260.6708,3656
14643,-3.4756,0.1162,234.7561,3666
14696,-2.7220,1.4419,206.9512,3650
14750,-3.3790,1.8497,188.0793,3652
14804,-3.6231,2.2651,171.1280,3652
14858,-3.4453,1.8456,166.4634,3664
14912,-3.5751,2.7765,152.9268,3674
14966,-3.7023,2.8078,153.0793,3674
15021,-3.5757,2.9760,146.9817,3674
15074,-3.4462,3.3035,150.4573,3674
15111,-3.3062,2.4283,152.2866,3686
15164,-3.9881,2.9080,158.7195,3676
15218,-5.2663,2.6314,163.3842,3676
15272,-4.8020,2.1851,167.3171,3676
15326,-5.1474,1.4368,164.0244,3676
15380,-5.0674,1.7073,162.3780,3678
15434,-4.7435,1.4540,166.4634,3682
15489,-3.5535,1.9312,174.1463,3694
15542,-2.5516,1.9089,180.4573,3684
15590,-2.0087,2.1985,197.7134,3688
15632,-2.4986,2.0939,196.6159,3690
15686,-3.2779,1.8519,201.0671,3690
15719,-3.1859,1.3733,203.3537,3690
15776,-3.7707,1.0684,220.3049,3690
15830,-3.6338,1.2010,230.0915,3690
15884,-4.7075,0.9105,233.4451,3690
15938,-4.2324,1.3557,229.6342,3690
15992,-4.3378,1.1051,243.7500,3702
16046,-4.5371,1.4908,243.8415,3690
16100,-4.6491,1.7079,252.6524,3690
16154,-4.1843,1.6502,250.7622,3692
16207,-3.9991,1.1526,266.0671,3692
16262,-3.5915,0.8838,252.1342,3694
16316,-3.4885,0.7903,194.6037,3694
16370,-3.2174,1.6297,177.6829,3708
16423,-2.7755,2.0383,183.3232,3698
16478,-2.9550,2.1373,173.0183,3698
16532,-3.1962,2.6608,164.5427,3718
16585,-3.4711,2.9513,160.7012,3766
16622,-3.4640,3.0999,154.6037,3800
16675,-3.3846,2.7686,163.4451,3804
16730,-4.1303,2.6756,161.6159,3836
16784,-3.9751,2.6327,156.3719,3878
16820,-3.8562,2.6089,161.1890,3878
16874,-4.0948,1.5939,166.2805,3950
16927,-4.3011,1.7885,178.7195,3990
16982,-4.5187,1.6510,189.0854,4004
17036,-5.0012,2.0003,202.4695,4004
17089,-5.2622,1.4868,214.7866,4014
17143,-5.2091,1.5050,235.9146,4002
17179,-5.0383,1.0359,254.7561,4004
17233,-5.9867,0.3235,267.8964,4002
17288,-5.1250,0.2856,284.1159,4004
17341,-5.7008,0.0288,300.9756,4016
17395,-5.8248,0.3075,317.6524,4002
17449,-5.7051,0.3609,333.4756,4002
17504,-5.0319,-0.0632,343.1098,4002
17557,-5.0196,0.0514,341.1890,4004
17611,-4.9346,0.6359,342.1037,3988
17666,-5.2439,0.8827,336.8293,3966
17720,-4.9354,1.0226,327.5915,3914
17773,-4.5220,0.8033,267.4390,3810
17827,-3.8297,0.9654,193.3232,3806
17882,-3.8357,0.9753,134.6646,3912
17935,-3.3314,1.7614,138.2622,3992
17989,-2.8567,2.3405,153.3842,4002
18043,-3.5461,2.3014,163.2012,4002
18098,-3.6811,2.1916,172.0122,4004
18151,-3.7939,2.4888,175.8232,4002
18205,-3.7337,2.3799,181.5549,4004
18241,-4.1448,2.4546,187.1951,2206
18295,-4.1457,1.8669,201.7073,4004
18349,-4.5472,1.6626,207.0427,4004
18403,-4.7276,2.0751,210.2439,4004
18439,-5.0007,1.8732,220.6098,4002
18493,-3.6505,1.8821,231.7988,4002
18547,-4.2358,0.6079,257.0732,4002
18601,-4.7797,0.5619,279.7866,4002
18655,-5.5739,0.6526,277.9269,3980
18709,-5.5001,0.1452,307.7439,3726
18762,-5.6499,-0.3502,307.7439,3652
18817,-4.9169,-0.6479,261.2805,3598
18871,-4.5248,-0.8669,232.7134,3572
18924,-4.0164,-1.0330,197.9268,3552
18978,-3.4286,-1.2047,148.4451,3542
19033,-3.3390,-1.1850,105.0305,3510
19086,-3.2980,-0.7718,65.9756,3492
