t,ax,ay,yawRate,steer,t_sec,yaw,yaw_rad,ax_world,ay_world,angular_accel
1041,0.0163,0.1111,0.4268,2386,1.041,0.0,0.0,0.0163,0.1111,0.0
1095,0.0643,0.2215,-0.5183,2320,1.095,-0.027988200000000026,-0.0004884862417066773,0.0644081920266404,0.2214685639088749,-17.501851851851836
1149,0.275,0.3098,-8.5366,2232,1.149,-0.4889646000000004,-0.008534042195697073,0.27763380013331085,0.30744188560366464,-148.4870370370369
1203,0.1367,0.3896,-8.4756,2202,1.203,-0.9466470000000009,-0.016522107004126776,0.14311806227023563,0.3872883554304376,1.1296296296296275
1257,0.0667,0.4247,-2.8963,2180,1.257,-1.1030472000000004,-0.019251805444904405,0.07486337652312038,0.42333728261937614,103.3203703703707
1311,0.0855,0.4437,-0.0915,2172,1.311,-1.1079882000000005,-0.019338042163245445,0.0940637682507302,0.44196374003132083,51.9407407407407
1366,0.0938,0.4842,-0.4573,2172,1.366,-1.1331397000000005,-0.0197770186500608,0.1033570647752419,0.4822503469786688,-6.650909090909072
1419,0.1239,0.4985,0.9756,2174,1.419,-1.0814329000000007,-0.018874564744390598,0.13328634289626506,0.4960727878016887,27.03584905660381
1473,0.1484,0.5276,0.3659,2212,1.473,-1.0616743000000006,-0.018529712118806045,0.15815024081749451,0.5247597748773895,-11.29074074074073
1527,0.1786,0.5504,0.8537,2220,1.527,-1.0155745000000007,-0.017725118824295165,0.1883273390325325,0.5471479995146885,9.033333333333363
1582,0.1793,0.5682,0.6707,2256,1.582,-0.9786860000000006,-0.017081293043173233,0.188978962150595,0.565054583084222,-3.3272727272727187
1635,0.1439,0.592,1.4634,2276,1.635,-0.9011258000000006,-0.01572761218466793,0.1531925655446934,0.5896636735138385,14.956603773584925
1689,0.1443,0.5957,2.5915,2278,1.689,-0.7611848000000005,-0.013285180976134544,0.15220101551026133,0.5937304362062342,20.89074074074072
1743,0.1676,0.6154,0.122,2280,1.743,-0.7545968000000005,-0.013170198685013157,0.17569017072061321,0.6131393674460658,-45.73148148148144
1797,0.1643,0.6197,1.128,2282,1.797,-0.6936848000000007,-0.012107083731038372,0.17179053497399766,0.6176654370234324,18.629629629629687
1851,0.1463,0.6322,-0.1524,2280,1.851,-0.7019144000000007,-0.0122507173471605,0.1540337315621558,0.630360325164138,-23.71111111111109
1905,0.1793,0.6312,0.8841,2270,1.905,-0.6541730000000007,-0.011417472727648877,0.18649486568151388,0.6291117508634171,19.19444444444443
